venueId,venueName
V1,ACM Sigarch Computer Architecture News
V2,ACM Sigsoft Software Engineering Notes
V3,ACM Transactions in Embedded Computing Systems
V4,ACM Transactions on Architecture and Code Optimization
V5,ACM Transactions on Autonomous and Adaptive Systems
V6,ACM Transactions on Computer Systems
V7,ACM Transactions on Graphics
V8,ACM Transactions on Internet Technology
V9,ACM Transactions on Knowledge Discovery From Data
V10,"ACM Transactions on Multimedia Computing, Communications, and Applications"
V11,ACM Transactions on Sensor Networks
V12,ACM Transactions on Speech and Language Processing
V13,ACM Transactions on Storage
V14,Ad Hoc & Sensor Wireless Networks
V15,Advances in Computational Mathematics
V16,Advances in Software Engineering
V17,Algorithmica
V18,Algorithms
V19,Algorithms for Molecular Biology
V20,Annals of Mathematics and Artificial Intelligence
V21,Annals of Pure and Applied Logic
V22,Artificial Intelligence
V23,Artificial Intelligence and Law
V24,Artificial Life
V25,BMC Bioinformatics
V26,BMC Medical Informatics and Decision Making
V27,Behaviour & Information Technology
V28,Bioinformatics
V29,Biological Cybernetics
V30,Circuits Systems and Signal Processing
V31,Clei Electronic Journal
V32,Cluster Computing
V33,Cognitive Science
V34,Computational Linguistics
V35,Computer Aided Geometric Design
V36,Computer Animation and Virtual Worlds
V37,Computer Communications
V38,Computer Graphics Forum
V39,Computer Networks
V40,Computer Vision and Image Understanding
V41,Computers & Chemical Engineering
V42,Computers & Operations Research
V43,Computers in Education
V44,Computing
V45,Concurrency and Computation: Practice and Experience
V46,Database
V47,Decision Sciences
V48,Discrete Applied Mathematics
V49,EURASIP Journal on Advances in Signal Processing
V50,Educational Technology & Society
V51,Electronic Notes in Theoretical Computer Science
V52,Electronic Proceedings in Theoretical Computer Science
V53,Empirical Software Engineering
V54,Engineering Applications of Artificial Intelligence
V55,Environmental Modelling and Software
V56,"Eurasip Journal on Audio, Speech, and Music Processing"
V57,Eurasip Journal on Embedded Systems
V58,Eurasip Journal on Image and Video Processing
V59,Eurasip Journal on Information Security
V60,Eurasip Journal on Wireless Communications and Networking
V61,European Journal of Operational Research
V62,Finance and Stochastics
V63,Foundations of Computational Mathematics
