paperId,venueId,venueName
4ab50fd5-e0e8-44aa-acf1-a7a131293e7c,V652,winter simulation conference
4ab944df-bc19-49e5-90e0-34bf9083a4a8,V499,international conference on multimedia and expo
4abe9ec5-650f-4761-9207-bb35bf4ffe71,V602,real time technology and applications symposium
4ac5278d-ea90-4c10-a18d-4b1e6e62965d,V166,International Journal of Satellite Communications and Networking
4ad5a0ef-eb44-4523-b483-f232aeae4a08,V656,wireless communications and networking conference
4ad974cf-4c34-44c7-9587-73238926679b,V72,IEEE Communications Letters
4adc4b73-ab48-4c55-a115-e28a8d052728,V571,national conference on artificial intelligence
4ae36b85-52c0-4743-9444-3020b3fcad07,V375,dependable systems and networks
4ae74cfb-ab9a-4fa5-85f7-d9e82eae4e33,V536,international symposium on information theory
4aea48d0-ad0a-49d0-8d8d-254da7f88289,V645,very large data bases
4aefe226-85d2-4005-99bb-1392f063fce2,V141,Information Sciences
4af38829-8cf3-40a8-93fe-a8b8e7299208,V412,global communications conference
4af52a40-5d92-40c5-a7b7-546b8f2f7ff6,V24,Artificial Life
4af84d38-c356-47e7-b616-4736e9a6929a,V49,EURASIP Journal on Advances in Signal Processing
4afa09c8-e827-4e2d-9f9f-87d3f78788d5,V513,international conference on robotics and automation
4b0861cd-a252-4d12-9dd3-6be1b361b212,V229,Natural Language Engineering
4b0f2e43-4140-4580-aafd-c15c6901e28f,V572,network and operating system support for digital audio and video
4b10b98d-a397-4360-818f-75a2a4393499,V555,machine vision applications
4b11c8ce-7bd9-4cb8-bb39-ce968f3eb208,V217,Manufacturing & Service Operations Management
4b16cec4-f2fd-465c-8eeb-477b54bc8669,V393,empirical methods in natural language processing
4b21b143-8a52-4a36-9cb1-06f4be2c2250,V256,Sensors
4b246597-647b-47cf-a188-68674096228d,V559,meeting of the association for computational linguistics
4b260cf6-8f12-49b0-a09c-ab99187f13ee,V559,meeting of the association for computational linguistics
4b292ecd-b812-4085-bdb6-ff6a597af6d2,V629,symposium on reliable distributed systems
4b2b5bd9-568c-43bb-a1eb-336c948599a5,V539,international symposium on neural networks
4b2c9393-df89-4bd9-a25a-806d8dea2b4f,V572,network and operating system support for digital audio and video
4b3226d3-cbeb-4808-862a-d1b66bcb1c79,V509,international conference on peer-to-peer computing
4b39234c-6a4f-416b-9f20-de66148190d2,V534,international symposium on computers and communications
4b3c481a-40ad-41a5-90d2-2bbe9f0d17fb,V412,global communications conference
4b43b21f-5c56-4e14-ba95-9528f674dc7d,V263,Software - Practice and Experience
4b441abd-f312-4a8b-95e9-3e962854a3be,V459,international conference on communications
4b459414-7ee9-470d-93eb-dbc7ab32db8c,V459,international conference on communications
4b46991e-0c92-4184-be2f-36443d56d1ca,V108,IEEE Transactions on Information Theory
4b511bda-a698-4429-bc24-6ca629d4368d,V126,IEEE Transactions on Wireless Communications
4b5319f9-cde6-43b9-b3a5-6072ce4ca2d6,V559,meeting of the association for computational linguistics
4b561a7b-221d-4cba-bb86-e33fe9ef157c,V525,international parallel and distributed processing symposium
4b56b243-db11-4dab-aa62-3b93e3bfdc36,V165,International Journal of Pattern Recognition and Artificial Intelligence
4b591abe-a3b0-42d9-b4a5-209663b4b2e2,V633,systems man and cybernetics
4b5a223b-b81c-4205-92b2-a49bc091b5da,V204,Journal of Software: Evolution and Process
4b5d438c-2c59-4684-80cc-b084cf4beecd,V268,Synthesis Lectures on Data Mining and Knowledge Discovery
4b61798d-fa0f-4140-a836-baf2129e30ef,V472,international conference on data engineering
4b61ec44-3437-47ac-a556-be513337c270,V250,Remote Sensing
4b66c417-a563-4df3-a7bf-09ceac6d3290,V459,international conference on communications
4b6ef955-319e-4f4e-b8f1-724b0e0e7682,V120,IEEE Transactions on Signal Processing
4b72a8d6-dccf-45ae-a0fe-6ad5152cfa03,V355,conference on decision and control
4b77f980-7935-401b-badb-7685b551ea8d,V331,cluster computing and the grid
4b79ed0b-31e6-4cdf-8dfd-71353edc0788,V393,empirical methods in natural language processing
4b7feb81-262b-4c77-8c1c-a123401ba3a6,V60,Eurasip Journal on Wireless Communications and Networking
4b864235-9079-486a-a4ac-61d2b8e3e395,V651,web intelligence
4b88b457-bfa0-45a6-9653-2f116bc3f6ad,V137,Image and Vision Computing
4b8f02e4-9346-4817-8cfb-6fa8a1bf0ae3,V543,international symposium on performance analysis of systems and software
4b8f7072-06e2-469e-8bf7-127624db0308,V313,architectural support for programming languages and operating systems
4b989ba3-65e3-44e3-ab05-9a9ac3e6ff35,V245,Presence: Teleoperators & Virtual Environments
4ba25c30-fd06-4429-826a-829e7f591dcc,V123,IEEE Transactions on Vehicular Technology
4ba26124-cc69-4f03-95af-7065caa1b95a,V126,IEEE Transactions on Wireless Communications
4baeaa5a-2659-4fb7-87b2-6d0fcb1167fd,V282,acm multimedia
4bb13354-b5a5-45a8-a222-d6b3e6287971,V429,ieee international conference on fuzzy systems
4bb3de5e-6923-4db7-809b-d5c866e82f7b,V509,international conference on peer-to-peer computing
4bb6405c-23e4-4242-b4d3-d212c0f0c126,V476,international conference on distributed smart cameras
4bc14d55-aa35-4ff7-b079-f6093449a96c,V412,global communications conference
4bc481a1-c372-4722-9c57-9b4ba2c1c466,V275,Transportation Science
4bcaad51-7cd1-4904-b395-698b92d22d0f,V656,wireless communications and networking conference
4bcdb32a-0875-471c-90b8-4054d4782896,V644,vehicular technology conference
4bd0c039-ad10-4dcf-a801-dbdf610f77d5,V499,international conference on multimedia and expo
4bd59985-ba5c-4402-b625-e0546ecd0191,V401,european symposium on programming
4bda2ffb-6b0b-43dc-9f0a-95172e9ffce3,V472,international conference on data engineering
4bdac34d-7464-4ce4-baa0-076713d1b41d,V412,global communications conference
4be06892-5958-4447-9e32-3cfaae7be7f6,V135,Iet Communications
4be26984-10dc-47d1-85e1-521dee47a722,V537,international symposium on microarchitecture
4be42600-f2e6-45de-94b0-d0cb7bb2edc7,V105,IEEE Transactions on Image Processing
4be44c30-a877-4f19-8529-4e7faccb8243,V267,Swarm Intelligence
4be6604c-4f50-494a-ac4d-ee8c6db22b7d,V412,global communications conference
4be676ea-a544-478b-9f02-952f3e61de69,V313,architectural support for programming languages and operating systems
4be8cf93-7dba-4281-a800-b8e0910c544d,V232,Neurocomputing
4bee3d70-d3c6-4998-967e-f9c0c3738624,V226,Mobile Networks and Applications
4beff121-d66f-4048-a832-5200294d17c4,V466,international conference on computer vision
4bf06138-a7c4-4d7c-948d-f744fcd063de,V105,IEEE Transactions on Image Processing
4c0382ac-e19a-4b7f-aa4c-2f67755e5430,V112,IEEE Transactions on Mobile Computing
4c0413aa-672c-47ed-b1d5-dd0df4356cf1,V263,Software - Practice and Experience
4c0ad4f5-02f4-42e0-955c-defc9284a163,V560,mexican international conference on artificial intelligence
4c151881-213c-460d-b0ed-642db9f77939,V230,Neural Computation
4c1a1661-aabc-4e0d-8f41-e7321878f469,V523,international geoscience and remote sensing symposium
4c1cf422-8d53-4021-8ed6-021dffd8239e,V515,international conference on software engineering
4c22d592-7dae-416a-b376-a000a5ded3cc,V80,IEEE Journal on Selected Areas in Communications
4c250040-2422-49a8-8372-254001a2de0a,V282,acm multimedia
4c31c352-5933-45c8-b208-60aa25fc332a,V375,dependable systems and networks
4c3790d1-b76d-45da-83a3-4b38ea4d8278,V346,computer science and software engineering
4c396fcd-ad5b-4c50-8462-32dc9c58e7a2,V202,Journal of Networks
4c3e90e7-fc12-457c-8925-fb5456ad15cb,V462,international conference on computer communications
4c4145cf-8198-4ae9-a540-dc1c2c965e95,V660,workshop on applications of computer vision
4c44394b-1d58-4aed-9c11-dc59a8afcf77,V551,internet measurement conference
4c486b51-f5b9-4353-8af6-9ce9ce6d340c,V420,high performance distributed computing
4c4f7e97-a572-495f-b56a-7d40c09761f7,V350,computer-based medical systems
4c50f59b-578d-41de-8528-3e60944eb876,V230,Neural Computation
4c514429-f38b-4010-b334-d036470d389a,V39,Computer Networks
4c529a8e-0521-4bd3-a115-294704a61f70,V297,algorithmic game theory
4c556b83-c865-45bf-8b0a-2623263d0ed8,V658,working conference on reverse engineering
4c5b77bc-c7b3-4f92-8686-2c9b514e383c,V176,Journal of Artificial Intelligence Research
4c5ddbc2-480b-492e-86d6-7f48b613b851,V307,arXiv: Information Theory
4c6247b4-35c2-4d10-a30e-1ea3d83a8c38,V89,"IEEE Transactions on Audio, Speech, and Language Processing"
4c655003-1468-4d73-a41e-e09dceb163be,V376,design automation conference
4c6573e2-f6e7-4204-bb84-2cb7fb2b3687,V380,digital image computing: techniques and applications
4c72ea48-dbbf-469d-9738-3eea8a7cff94,V50,Educational Technology & Society
4c732bf0-810e-42de-8b92-759774e406f0,V293,advanced video and signal based surveillance
4c764bde-aa7b-4585-8b60-59a0e21e15f6,V443,integrated network management
4c7893a2-7bcf-4008-84de-871048975442,V269,Synthesis Lectures on Speech and Audio Processing
4c789b62-a90f-4c91-b8f8-00497fc3e07c,V578,neural information processing systems
4c78affe-d96f-4c77-98c1-af71253e2ca1,V656,wireless communications and networking conference
4c7efd3a-da43-49e8-84d6-36b9a9d414b1,V169,International Journal of Systems Science
4c80004b-77b5-4632-bc14-93002e7f014a,V525,international parallel and distributed processing symposium
4c859183-ef97-49be-ba88-e096def9acf2,V551,internet measurement conference
4c86b2cb-132e-4ac8-8a27-f53c14d623f9,V74,IEEE Communications Surveys and Tutorials
4c8af4bd-5266-4117-81f7-78bd10068354,V462,international conference on computer communications
4c93b314-b5b2-4fe0-89af-14ed45d84f8b,V459,international conference on communications
4c98573e-dc28-4627-902a-705b26b94ea9,V645,very large data bases
4c9ab177-77f7-42a1-8510-72b4109f17b3,V536,international symposium on information theory
4c9b2181-751e-4dbd-a403-aba0aacfd093,V60,Eurasip Journal on Wireless Communications and Networking
4c9e196e-6196-4e5a-9f0a-107ed3c74ae9,V525,international parallel and distributed processing symposium
4c9f8a2c-d3e7-43b9-a778-d7d172d5e337,V321,asian test symposium
