paperId,title,year,n_citation,abstract
4ab50fd5-e0e8-44aa-acf1-a7a131293e7c,Importance sampling in Markovian settings,2005,10,"Rare event simulation for stochastic models of complex systems is still a great challenge even for Markovian models. We review results in importance sampling for Markov chains, provide new viewpoints and insights, and we pose some future research directions."
4ab944df-bc19-49e5-90e0-34bf9083a4a8,Unequal Error Protection for Video Streaming Over Wireless LANs using Content-Aware Packet Retry Limit,2006,50,"In this paper, we propose a content-aware retry limit adaptation scheme for video streaming over IEEE 802.11 wireless LANs (WLANs). Video packets of different importance are unequally protected with different retry limits at the MAC layer. The loss impact of each packet is estimated to guide the selection of its retry limit. More retry numbers are allocated to packets of higher loss impact to achieve unequal error protection. Experimental results show that the proposed adaptation scheme can effectively mitigate the error propagation due to packet loss and assure the on-time arrival of packets for presentation, thereby improving video quality significantly."
4abe9ec5-650f-4761-9207-bb35bf4ffe71,Smart sensor architecture customized for image processing applications,2004,50,A system level design methodology is applied to the embedded system design for a typical sensor network application: face detection for security purpose. The tradeoff analysis is performed for hardware and software implementations of the tasks in this application. The best system design is achieved with limited hardware resources.
4ac5278d-ea90-4c10-a18d-4b1e6e62965d,Non‐binary protograph low‐density parity‐check codes for space communications,2012,50,"SUMMARY#R##N##R##N#Protograph-based non-binary low-density parity-check (LDPC) codes with ultra-sparse parity-check matrices are compared with binary LDPC and turbo codes (TCs) from space communication standards. It is shown that larger coding gains are achieved, outperforming the binary competitors by more than 0.3 dB on the additive white Gaussian noise channel (AWGN). In the short block length regime, the designed codes gain more than 1 dB with respect to the binary protograph LDPC codes recently proposed for the next generation up-link standard of the Consultative Committee for Space Data Systems. Copyright © 2012 John Wiley & Sons, Ltd."
4ad5a0ef-eb44-4523-b483-f232aeae4a08,Enhanced Color-Theory-Based Dynamic Localization in Mobile Wireless Sensor Networks,2007,11,"There are few localization schemes targeted at mobile wireless sensor networks. This paper proposed an enhanced color-theory-based dynamic localization (E-CDL) which is based on the CDL algorithm (Shee, 2005). However, the location accuracy of this algorithm depends on the accuracy of the average hop distance derivation. Therefore, the authors present two novel schemes to estimate the average hop distance. The authors analyzed the behavior of sensor nodes communication, and computed the expected value of the average hop distance, which is 7r/9 where r is the radio range. In addition, since CDL is based on the DV-hop scheme, the derived shortest path length is usually larger than the corresponding Euclidean distance. With this observation, the derived shortest path length can be adjusted by the ratio of the Euclidean distance and the shortest path distance to further enhance the location accuracy. Finally, in mobile wireless sensor networks, sensor nodes may become isolated. By employing mobile anchor nodes, the isolation problem can be relieved and hence the location accuracy can be improved. Simulation results have shown that the location accuracy of E-CDL is 50%-55% better than that of CDL, and 75%-80% better than that of MCL (Monte Carlo localization) (Lingxuan and David, 2004), In addition, the authors have implemented and verified our algorithm on the MICAz Mote developer's kit."
4ad974cf-4c34-44c7-9587-73238926679b,Waveband switching networks with limited wavelength conversion,2005,24,We study reconfigurable multi-granular optical cross-connects (MG-OXCs) in waveband switching networks with limited wavelength conversion and propose a heuristic algorithm to minimize the number of used wavelength converters while reducing the blocking probability.
4adc4b73-ab48-4c55-a115-e28a8d052728,Multimodal people detection and tracking in crowded scenes,2008,50,"This paper presents a novel people detection and tracking method based on a multi-modal sensor fusion approach that utilizes 2D laser range and camera data. The data points in the laser scans are clustered using a novel graph-based method and an SVM based version of the cascaded AdaBoost classifier is trained with a set of geometrical features of these clusters. In the detection phase, the classified laser data is projected into the camera image to define a region of interest for the vision-based people detector. This detector is a fast version of the Implicit Shape Model (ISM) that learns an appearance codebook of local SIFT descriptors from a set of hand-labeled images of pedestrians and uses them in a voting scheme to vote for centers of detected people. The extension consists in a fast and detailed analysis of the spatial distribution of voters per detected person. Each detected person is tracked using a greedy data association method and multiple Extended Kalman Filters that use different motion models. This way, the filter can cope with a variety of different motion patterns. The tracker is asynchronously updated by the detections from the laser and the camera data. Experiments conducted in real-world outdoor scenarios with crowds of pedestrians demonstrate the usefulness of our approach."
4ae36b85-52c0-4743-9444-3020b3fcad07,Analyzing the effects of disk-pointer corruption,2008,19,"The long-term availability of data stored in a file system depends on how well it safeguards on-disk pointers used to access the data. Ideally, a system would correct all pointer errors. In this paper, we examine how well corruption-handling techniques work in reality. We develop a new technique called type-aware pointer corruption to systematically explore how a file system reacts to corrupt pointers. This approach reduces the exploration space for corruption experiments and works without source code. We use type-aware pointer corruption to examine Windows NTFS and Linux ext3. We find that they rely on type and sanity checks to detect corruption, and NTFS recovers using replication in some instances. However, NTFS and ext3 do not recover from most corruptions, including many scenarios for which they possess sufficient redundant information, leading to further corruption, crashes, and unmountable file systems. We use our study to identify important lessons for handling corrupt pointers."
4ae74cfb-ab9a-4fa5-85f7-d9e82eae4e33,On the guaranteed error correction capability of LDPC codes,2008,50,We investigate the relation between the girth and the guaranteed error correction capability of gamma-left regular LDPC codes when decoded using the bit flipping (serial and parallel) algorithms. A lower bound on the number of variable nodes which expand by a factor of at least 3gamma/4 is found based on the Moore bound. An upper bound on the guaranteed correction capability is established by studying the sizes of smallest possible trapping sets.
4aea48d0-ad0a-49d0-8d8d-254da7f88289,Incrementally maintaining classification using an RDBMS,2011,22,"The proliferation of imprecise data has motivated both researchers and the database industry to push statistical techniques into relational database management systems (RDBMSes). We study strategies to maintain model-based views for a popular statistical technique, classification, inside an RDBMS in the presence of updates (to the set of training examples). We make three technical contributions: (1) A strategy that incrementally maintains classification inside an RDBMS. (2) An analysis of the above algorithm that shows that our algorithm is optimal among all deterministic algorithms (and asymptotically within a factor of 2 of a non-deterministic optimal strategy). (3) A novel hybrid-architecture based on the technical ideas that underlie the above algorithm which allows us to store only a fraction of the entities in memory. We apply our techniques to text processing, and we demonstrate that our algorithms provide an order of magnitude improvement over non-incremental approaches to classification on a variety of data sets, such as the Citeseer and DBLife."
